id	name	category	description	alias	xrefs	provided_by	molecular_function	cellular_component	biological_process
ENSG00000004059	ARF5	biolink:Gene	ADP ribosylation factor 5	NCBIGene:381		STRING			
ENSP00000000233		biolink:Protein			UniProtKB:P84085	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000143933	CALM2	biolink:Gene	calmodulin 2	NCBIGene:805		STRING			
ENSP00000272298		biolink:Protein			UniProtKB:P0DP24	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000131089	ARHGEF9	biolink:Gene	Cdc42 guanine nucleotide exchange factor 9	NCBIGene:23229		STRING			
ENSP00000253401		biolink:Protein			UniProtKB:O43307-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000178607	ERN1	biolink:Gene	endoplasmic reticulum to nucleus signaling 1	NCBIGene:2081		STRING			
ENSP00000401445		biolink:Protein			UniProtKB:O75460-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000147889	CDKN2A	biolink:Gene	cyclin dependent kinase inhibitor 2A	NCBIGene:1029		STRING			
ENSP00000418915		biolink:Protein			UniProtKB:P42771-4	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000185624	P4HB	biolink:Gene	prolyl 4-hydroxylase subunit beta	NCBIGene:5034		STRING			
ENSP00000327801		biolink:Protein			UniProtKB:P07237	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000104915	STX10	biolink:Gene	syntaxin 10	NCBIGene:8677		STRING			
ENSP00000466298		biolink:Protein			UniProtKB:O60499-1	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000114450	GNB4	biolink:Gene	G protein subunit beta 4	NCBIGene:59345		STRING			
ENSP00000232564		biolink:Protein			UniProtKB:Q9HAV0	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000168280	KIF5C	biolink:Gene	kinesin family member 5C	NCBIGene:3800		STRING			
ENSP00000393379		biolink:Protein			UniProtKB:O60282-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000159131	GART	biolink:Gene	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	NCBIGene:2618		STRING			
ENSP00000371253		biolink:Protein			UniProtKB:P22102-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000211456	SACM1L	biolink:Gene	SAC1 like phosphatidylinositide phosphatase	NCBIGene:22908		STRING			
ENSP00000373713		biolink:Protein			UniProtKB:Q9NTJ5-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000100359	SGSM3	biolink:Gene	small G protein signaling modulator 3	NCBIGene:27352		STRING			
ENSP00000248929		biolink:Protein			UniProtKB:Q96HU1-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000120370	GORAB	biolink:Gene	golgin, RAB6 interacting	NCBIGene:92344		STRING			
ENSP00000356737		biolink:Protein			UniProtKB:Q5T7V8-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000113971	NPHP3	biolink:Gene	nephrocystin 3	NCBIGene:27031		STRING			
ENSP00000338766		biolink:Protein			UniProtKB:Q7Z494-1	STRING	GO:0003674	GO:0005575	GO:0008150
